trace_index,baseline_trace,avg_no,avg_with,gain,n,avg_prefix_len,baseline_len
22,0 27 0 0 17 3 5 24 5 0 3 5 1 5 7 29 12 30 5 13 14 15 16 0 6 5 0 7 5 1 3 0 8 5 1 3 5 17 18 5 0 27 4 3 5 26 8 19 5 20 22 5 23,0.5324038461538462,0.9193461538461538,0.38694230769230764,52,26.5,53.0
23,0 12 0 6 5 7 1 3 0 1 27 5 34 5 0 7 25 28 6 3 5 8 5 12 26 5 13 5 4 14 16 0 33 5 0 10 8 5 6 5 0 17 10 5 5 12 27 34 5 0 7 12 5 5 19 20 21 23,0.4864736842105263,0.8716491228070175,0.38517543859649117,57,29.0,58.0
24,0 10 7 0 25 1 7 8 10 12 0 6 26 5 3 1 25 28 7 10 24 4 13 14 16 0 7 1 2 3 0 3 4 19 20 22 23,0.4615,0.8464722222222222,0.38497222222222216,36,18.5,37.0
25,0 4 1 35 8 35 6 32 33 7 11 10 3 24 12 13 14 5 16 0 5 10 7 5 0 5 10 26 4 5 0 10 17 18 1 5 25 5 27 19 20 5 21 23,0.5173953488372093,0.9006976744186046,0.3833023255813953,43,22.0,44.0
26,0 3 5 0 6 1 5 3 0 6 5 28 0 3 7 4 5 10 17 5 1 18 12 5 0 6 0 5 4 6 7 5 8 5 12 13 14 15 16 0 12 5 3 26 4 30 10 29 6 19 8 20 21 23,0.5549811320754717,0.9374150943396227,0.38243396226415094,53,27.0,54.0
27,0 5 8 1 7 3 13 24 5 14 5 0 1 10 5 12 5 0 17 5 0 27 5 1 3 5 0 1 25 6 5 8 5 33 11 13 14 15 5 16 0 26 27 5 34 19 5 20 31 5 0 1 5 0 5 8 6 17 18 19 20 31 5 23,0.4656666666666667,0.8465396825396826,0.3808730158730159,63,32.0,64.0
28,0 26 8 5 6 0 27 17 5 18 5 29 30 0 26 5 0 1 0 26 5 2 3 10 1 5 12 7 0 8 0 10 7 5 1 2 3 13 14 5 15 16 0 12 7 10 6 1 35 8 5 3 19 20 22 23,0.5121454545454546,0.8920363636363636,0.37989090909090906,55,28.0,56.0
29,0 6 11 33 8 7 10 0 7 6 8 4 26 24 3 5 10 12 25 28 1 13 14 16 0 3 7 5 10 17 18 27 5 32 34 5 0 25 10 5 12 5 0 19 20 22 5 23,0.509531914893617,0.8890851063829787,0.3795531914893616,47,24.0,48.0
30,0 8 0 29 12 5 7 0 5 25 26 4 1 5 3 30 8 29 5 0 5 27 1 29 30 5 0 10 3 24 27 7 5 5 11 28 33 13 14 5 5 15 16 0 18 12 7 19 20 22 23,0.41794,0.79732,0.37938000000000005,50,25.5,51.0
31,0 25 9 7 5 10 0 1 5 27 4 26 0 8 5 0 5 10 35 6 5 4 26 5 12 18 7 8 17 13 5 14 16 0 8 17 5 18 5 27 34 0 5 4 8 6 5 0 5 4 5 17 7 19 20 31 23,0.4851964285714286,0.8624285714285714,0.37723214285714285,56,28.5,57.0
32,0 30 18 17 5 3 5 35 6 12 8 0 3 5 0 10 5 5 29 35 6 30 27 1 34 26 0 29 17 8 5 18 7 1 5 13 5 14 5 13 14 15 16 0 30 35 8 4 6 5 19 20 31 19 20 31 23,0.4933571428571429,0.8684285714285714,0.37507142857142856,56,28.5,57.0
33,0 28 4 1 2 3 0 25 7 28 10 35 8 12 3 24 0 8 26 4 35 6 30 29 13 14 16 0 11 5 10 12 24 0 3 9 7 5 28 25 5 0 10 17 5 18 19 5 20 21 23,0.43656,0.8093600000000001,0.3728000000000001,50,25.5,51.0
34,0 3 0 8 25 5 27 32 34 5 0 5 35 6 8 7 10 5 0 30 9 10 2 3 5 12 7 35 6 5 5 8 25 28 5 0 17 1 13 14 15 5 5 13 14 13 14 15 5 16 0 5 4 3 35 8 6 10 7 19 20 22 19 20 21 19 20 31 23,0.4785441176470588,0.8509264705882353,0.37238235294117655,68,34.5,69.0
