trace_index,baseline_trace,n,avg_no,avg_with,gain,x,y
0,847 848 1 2 3 22 12 13 16 10,45,0.31566666666666665,0.7373333333333333,0.42166666666666663,0.28137715993912304,0.44261031940636375
1,0 783 9 10,15,0.4166666666666667,0.7916666666666666,0.37499999999999994,-0.5161934872622087,-0.25780235589518763
2,858 1 9 10,15,0.6666666666666666,1.0,0.33333333333333337,-0.2959869247093564,-0.5020197750990752
3,0 802 803 11 12 13 16 10,35,0.3678571428571429,0.6892857142857143,0.3214285714285714,-0.351635409283044,0.4404034737748068
4,850 1 2 3 851 852 13 13,35,0.1532857142857143,0.47071428571428575,0.31742857142857145,0.5965722935389759,0.25915934254820033
5,0 782 9 10,15,0.5,0.7916666666666666,0.29166666666666663,-0.5451700355152195,-0.20710271914797995
6,0 1 693 694 10,20,0.22075,0.4915,0.27075,-0.4549517763096944,0.033627206195899303
7,0 1 939 940 10,20,0.22075,0.4915,0.27075,-0.4602684510721118,0.039047647221536565
8,0 1 998 999 10,20,0.22075,0.4915,0.27075,-0.20511154391468078,-0.13827525901774104
9,0 846 2 3 4 5 6 7 8,40,0.31525,0.5756249999999999,0.26037499999999997,0.6193526810769843,-0.1452399130957421
10,0 1 837 3 4 5 6 7 8,40,0.307875,0.56725,0.259375,0.4725437037659711,-0.3182486524010959
11,0 1 684 3 4 685 6 7 14,35,0.21328571428571427,0.46257142857142863,0.24928571428571436,0.449924944844328,-0.351742730065986
12,0 724 725 726 4 5 6 727 14,35,0.41314285714285715,0.6618571428571428,0.24871428571428567,0.5144033285289313,-0.5286336509565498
13,0 1 814 3 815 5 6 7 8,40,0.26149999999999995,0.48975,0.22825000000000006,0.4376488802366608,-0.36520633803235975
14,0 1 707 2 3 4 5 6 7 8,45,0.318,0.5428888888888889,0.22488888888888886,0.49320319657008604,-0.20791048968614362
15,0 906 1 9 10,20,0.55425,0.76675,0.21250000000000002,-0.38603523293609227,-0.3652962875246076
16,0 1 956 10,15,0.4026666666666667,0.5953333333333333,0.1926666666666666,-0.3166009080627578,-0.1300044164855743
17,1 2 3 21 12 13 16 10,30,0.3476666666666667,0.5381666666666667,0.1905,0.33661431745383186,0.4416517232224406
18,0 2 3 21 12 13 16 10,30,0.35583333333333333,0.537,0.1811666666666667,0.26183617659667824,0.3232380029235159
19,897 1 2 11 12 13 16 10,30,0.2903333333333333,0.457,0.16666666666666674,-0.12229099421707623,0.4481025742493288
